"","lh_superiorparietal_lh_precentral","Left_Putamen_lh_precentral","rh_superiorparietal_rh_precentral","lh_precentral_rh_precentral","Right_Putamen_rh_precentral","lh_precentral_lh_postcentral","lh_superiorparietal_lh_postcentral","rh_precentral_rh_postcentral","rh_superiorparietal_rh_postcentral","Left_Thalamus_Proper_lh_superiorparietal","lh_superiorparietal_rh_superiorparietal","Right_Caudate_rh_superiorparietal","Left_Caudate_Left_Thalamus_Proper","Left_Pallidum_Left_Thalamus_Proper","Left_Pallidum_Left_Putamen","Right_Pallidum_Right_Putamen","Right_Pallidum_Right_Caudate","Left_Thalamus_Proper_Right_Caudate","Left_Caudate_Right_Caudate"
"55209",0.307540849837087,0.294080325587307,0.272060447608532,0.00220681844176616,0.18938104743464,0.0519251603590564,0.0722690948136458,0.0315854335685137,0.0380758016273141,0.200492056624347,0.0002123470114709,0.281341892776868,0.0165879726679112,0.00442572415845984,0.00318379033039166,0.00425000144835642,0.0434561383977794,0.105796184281133,0.0671037659696956
"55280",0.0967993911009743,0.0799833541656062,0.0642599147826717,0,0.103884785738376,0.0103728000782442,0.0133698054735468,0.0118057502451596,0.00426738657690734,0.199219451000827,0.000218047615133523,0.144905670744136,0.0215689824940775,0.00511341100500111,0.000625778525302599,0.00127354546314446,0.0032281105047374,0.0295903714381969,0.0295248146064781
"56419",0.280459651638493,0.387437650521983,0.228151321738615,0,0.28907991173297,0.0360912276847573,0.079330904061348,0.0268687462713106,0.0290028370443178,0.374770295504298,0.000136968178119081,0.335284019231124,0.0681239057946428,0.0205491149130748,0.0187232232171702,0.0174327331886757,0.0617498087866282,0.0681534709365447,0.0530402295050333
"58014",0.139523817212971,0.12223966634115,0.171711680774145,0.00118796440002508,0.0731456362995034,0.0131037250380311,0.0333037546239057,0.0143956664011261,0.0278649852584589,0.192911079984739,0.000522188474271518,0.20260131959131,0.00395676040483223,0.000591960182826163,0.000752223568756478,0.000552119224477212,0.00404485634852931,0.0261661177078596,0.00549812502392477
"58085",0.428836576599492,0.4464370895448,0.494178749434012,0,0.342276106127712,0.0502446992021374,0.104230253074036,0.0294852367946463,0.088616150301434,0.590213812513411,0.00788437116090745,0.540506717199933,0.0268716201938283,0.00347144777501363,0.00421270385550409,0.00426260885313082,0.030277981273637,0.0584953719363625,0.070161488390857
"71248",0.4008742469674,0.352142095933715,0.401422074035511,0.00125211236522402,0.280657685551503,0.0583225164628622,0.0778593316320216,0.0316532351001373,0.0967771598727099,0.447832531041242,0.00378373455019315,0.441194675132603,0.047428798469466,0.00498234568156836,0.00261152385786594,0.00343270927272026,0.0118918004140505,0.20658987411885,0.347608063938777
"71265",0.058393138153908,0.251171937307259,0.137093934379328,0,0.225919814401831,0.00903451635536909,0.00712984129082004,0.0231671193819203,0.00898670487437582,0.18311271521759,0.000126842554221629,0.304251047647504,0.0195749241551272,0.00701113623263857,0.00608024758359389,0.00813412122436208,0.0379126009504137,0.0177469847051045,0.0104284964282811
"71889",0.160014998156855,0.402067267760752,0.148892742976348,0.0029049869650784,0.323053333145112,0.0676100968815029,0.0357838088155837,0.0337716203041982,0.0276322766620106,0.114306656995795,0.000978202986511435,0.150001629587403,0.016943547489878,0.0284881278843671,0.0327625998230804,0.0327167544790563,0.148604925699342,0.0644636214555408,0.297574377166131
"71927",0.457864181645747,0.526711751553384,0.321238037511669,0,0.269907882904369,0.0485581543904935,0.0948789116042343,0.0391757914431203,0.0400020671942755,0.58709717233616,0.000348448456902685,0.4567577796841,0.129701910085948,0.0226733467872564,0.0106089586620294,0.00336882057708318,0.0411475819999582,0.157567492681739,0.145487890496407
"72045",0.1666505053997,0.184643152877303,0.146041319834523,0.00144190197863198,0.0901447849745994,0.0182454796727548,0.0184653238642158,0.0155688284731504,0.0361030199121934,0.20397971247975,8.6448097204353e-05,0.148876506564101,0.0371309346789519,0.0116566667647767,0.00353673703580812,0.00103322202136827,0.0054466693307895,0.01839527406255,0.0262588625085077
"77220",0.103490143695733,0.200364932813953,0.124086076513559,0.0123960647150027,0.115354548137766,0.0287034238870517,0.01662577518259,0.0117777814665848,0.00785486144348816,0.137191461522261,0.000865143454436573,0.178619051931544,0.0390367591972173,0.00354881203383421,0.00244972281752249,0.00266395126130933,0.0406181085356382,0.0406044629904736,0.0651004763101221
"77424",0.252471720947873,0.431665348826005,0.247694577843662,0,0.311090699124824,0.0382871136330117,0.0584993335606365,0.0163115454185992,0.0381580678534778,0.304816373629526,0.00101569306481865,0.344216360277779,0.141827107421484,0.0272490948697094,0.0185818448379949,0.00608082922131442,0.0619039635532831,0.162772094935444,0.29376420591413
"78011",0.212487922371195,0.194819180704933,0.361256806228926,0,0.240021938932088,0.0208067215828648,0.0390487044576281,0.0241230828607215,0.0564514228797168,0.412693180306833,0.00136008196932153,0.577204762553322,0.0292408222844364,0.00242733647554849,0.001984121686734,0.00189944911027394,0.00999352067090554,0.119835268965942,0.133055608173381
"56325",0.120032096055654,0.146853811104687,0.166834599276646,0,0.177071227456873,0.0278922051931459,0.0150165663505627,0.0253250484511938,0.0234466521198893,0.123341203589221,0.000217458611023079,0.248720875537707,0.0176680889968708,0.0100157215837766,0.00303211260690153,0.0135323000580018,0.0354475987004652,0.0337865079355275,0.0139459578615091
"56967",0.488499754827789,0.399996899564408,0.416313387454765,0,0.381415956739695,0.0833119865910627,0.127041082869899,0.0600608702490503,0.0906814342365605,0.593266448596458,0.000809809292280391,0.53168581704853,0.0115117429231092,0.00878360894838443,0.0115278550949365,0.0115685907956282,0.0335726063110802,0.121587732528719,0.253293278041483
"70852",0.191966762492802,0.234303545039924,0.277832663594471,0,0.249659652299623,0.0427492679647266,0.0242898893472245,0.0259204567321162,0.0556484184494429,0.243234883820873,0.0009697979015483,0.276959874095937,0.0136407781368154,0.00210044958341908,0.00172415885016182,0.00401097153610427,0.00792543408315069,0.0310094110910453,0.095443243252266
"70953",0.20408423828153,0.245978139979703,0.22334425231803,0,0.349300380327222,0.0468531514198313,0.0272910550146343,0.0425320199964756,0.0139107481023926,0.238764040109419,0.000128024794113255,0.244018291297287,0.0113587258763737,0.0264892907620239,0.0112127511021289,0.0297343436492807,0.136717054265207,0.112538263078118,0.260899270727648
"57117",0.116616975292548,0.211452346522,0.0613709822817688,0,0.0835701066195735,0.0484632296515589,0.0116764910047972,0.0202971288116978,0.00572419520753206,0.186888953122489,0,0.138448127679609,0.0288007718114854,0.0122633476333103,0.00358510003157913,0.00357362258796761,0.0262239282291077,0,0.00523121715695256
"57164",0.216679985364844,0.248959632020475,0.295028655861338,0.00295113368485828,0.267322182507198,0.0227055108587286,0.0294429520103764,0.0379727836592132,0.0732937171541568,0.286445490037114,6.53247139703708e-05,0.280498826222894,0.0284866119068578,0.00246156037798991,0.00168187881652631,0.00278412222412275,0.0172979886530193,0.155551774413337,0.238923883240429
